fielder_index,fielder_id
0,0
1,624641
2,692225
3,669699
4,669701
5,669707
6,593934
7,808975
8,663586
9,669742
10,596019
11,677942
12,571448
13,663611
14,677951
15,608324
16,663624
17,622666
18,456781
19,682073
20,596059
21,663647
22,694374
23,694376
24,694377
25,694384
26,608369
27,675961
28,647304
29,663697
30,596115
31,657557
32,702616
33,645277
34,622761
35,673962
36,665782
37,647351
38,643265
39,682177
40,542932
41,669911
42,643289
43,676059
44,665828
45,676070
46,665833
47,600301
48,665839
49,663796
50,606466
51,665862
52,571657
53,676116
54,665877
55,663837
56,641313
57,663845
58,663853
59,641343
60,592192
61,643393
62,516416
63,643396
64,665926
65,670032
66,678225
67,649557
68,543063
69,663897
70,663898
71,670042
72,543068
73,545121
74,678246
75,547180
76,643446
77,571771
78,686469
79,592273
80,670097
81,666018
82,608686
83,663993
84,518586
85,608703
86,643524
87,444876
88,670156
89,641487
90,621011
91,686554
92,621020
93,592348
94,664029
95,518626
96,571875
97,621028
98,664034
99,664040
100,621035
101,621043
102,805367
103,678391
104,664058
105,641531
106,664059
107,805373
108,670223
109,680474
110,518692
111,666149
112,676391
113,666152
114,666158
115,543281
116,571970
117,666182
118,666197
119,666198
120,686681
121,672356
122,623205
123,572008
124,641645
125,682617
126,641658
127,680574
128,682622
129,676480
130,592518
131,670351
132,678545
133,678554
134,682657
135,645801
136,682668
137,686765
138,664238
139,592567
140,527038
141,660162
142,686797
143,672478
144,572138
145,649966
146,592626
147,641779
148,680700
149,676609
150,594694
151,678662
152,596748
153,680716
154,680718
155,606993
156,518934
157,641820
158,666397
159,600869
160,690993
161,543543
162,641856
163,641857
164,672580
165,514888
166,572233
167,682829
168,607054
169,467793
170,691026
171,676701
172,514917
173,592743
174,641914
175,578428
176,672640
177,502671
178,519058
179,805779
180,594838
181,676761
182,670623
183,623520
184,680869
185,553902
186,682927
187,682928
188,656305
189,656308
190,672695
191,605113
192,605119
193,543685
194,695238
195,680911
196,605137
197,672724
198,605141
199,678882
200,607208
201,621545
202,682988
203,621550
204,678894
205,691182
206,656371
207,687093
208,670712
209,683002
210,621563
211,609275
212,621566
213,666624
214,609280
215,683011
216,656388
217,500743
218,553993
219,672779
220,683021
221,543760
222,680977
223,605204
224,689172
225,457759
226,519203
227,642086
228,695336
229,668715
230,670764
231,676914
232,672820
233,693304
234,683083
235,666703
236,676946
237,543829
238,642133
239,676950
240,650331
241,650333
242,664670
243,695391
244,646240
245,650339
246,570481
247,570482
248,642165
249,681082
250,687231
251,642180
252,543877
253,500871
254,683146
255,660620
256,670869
257,547989
258,642197
259,660634
260,664731
261,660636
262,687263
263,650402
264,605346
265,660644
266,605353
267,656555
268,668845
269,666801
270,664761
271,681146
272,613564
273,570560
274,543939
275,664774
276,691406
277,668885
278,660707
279,668901
280,668904
281,685301
282,650489
283,650490
284,668930
285,593160
286,668942
287,462101
288,644374
289,668952
290,666906
291,660766
292,458015
293,666915
294,687401
295,664901
296,656716
297,630105
298,669023
299,687462
300,570731
301,671083
302,660844
303,691594
304,656811
305,605612
306,681393
307,665019
308,677347
309,671213
310,542194
311,681460
312,656896
313,669200
314,593428
315,669208
316,622110
317,665120
318,681508
319,669222
320,671277
321,501303
322,671289
323,669242
324,691777
325,665155
326,691783
327,665161
328,622168
329,429664
330,669289
331,679529
332,650859
333,681584
334,544369
335,669304
336,542340
337,642708
338,642715
339,657061
340,642727
341,642731
342,669357
343,677551
344,669364
345,622268
346,669374
347,691907
348,679631
349,474832
350,669392
351,673490
352,669394
353,677587
354,669397
355,683734
356,677588
357,683737
358,677595
359,628451
360,593643
361,683766
362,503556
363,493329
364,677649
365,614173
366,624414
367,624415
368,624413
369,663330
370,669477
371,624428
372,606019
373,608070
374,675656
375,687952
376,700242
377,624503
378,702332
379,446334
380,665489
381,702358
382,606115
383,679845
384,595879
385,593871
386,655316
387,544725
388,663527
389,622569
390,681962
391,677870
392,663538
393,602104
