runner_index,runner_id
0,624641
1,669701
2,595978
3,669707
4,667670
5,808982
6,669720
7,663586
8,669743
9,596019
10,571448
11,663611
12,677950
13,677951
14,663616
15,444482
16,608324
17,663624
18,571466
19,456781
20,663630
21,608336
22,596059
23,608348
24,663647
25,663656
26,694384
27,608369
28,678009
29,608385
30,596103
31,647304
32,686217
33,665742
34,663697
35,663698
36,596115
37,643217
38,657557
39,596117
40,665750
41,702616
42,645277
43,622761
44,673962
45,596142
46,663728
47,596146
48,645302
49,680118
50,647351
51,663743
52,665804
53,663757
54,542932
55,669911
56,643289
57,676059
58,665828
59,665833
60,665839
61,657656
62,598265
63,606466
64,665862
65,571657
66,676116
67,663837
68,641313
69,663845
70,502054
71,663853
72,641343
73,516416
74,643393
75,592192
76,665923
77,643396
78,665926
79,641355
80,592206
81,670032
82,678225
83,649557
84,543063
85,663897
86,670042
87,663898
88,657757
89,502110
90,545121
91,571745
92,678246
93,547180
94,643446
95,571771
96,686469
97,694671
98,592273
99,641432
100,608671
101,666023
102,575929
103,663993
104,608701
105,518595
106,592325
107,670156
108,455117
109,641487
110,664023
111,621020
112,518626
113,664034
114,621028
115,664040
116,621035
117,643565
118,621043
119,664056
120,664059
121,641531
122,543228
123,571912
124,676369
125,672275
126,666134
127,672279
128,543257
129,680474
130,666139
131,672284
132,670242
133,518692
134,666149
135,676391
136,666152
137,666158
138,641584
139,543281
140,666160
141,666163
142,545341
143,641598
144,666176
145,592450
146,668227
147,571970
148,666181
149,666182
150,666185
151,543305
152,608841
153,686668
154,543309
155,518735
156,545361
157,686676
158,686681
159,672356
160,623205
161,641645
162,641658
163,662139
164,676475
165,680574
166,672386
167,682626
168,592518
169,518792
170,572041
171,641680
172,682641
173,408234
174,516782
175,664238
176,660162
177,666310
178,686823
179,649966
180,592626
181,680700
182,676609
183,672515
184,678662
185,606992
186,543510
187,592663
188,518934
189,592669
190,666397
191,572191
192,600869
193,572204
194,686894
195,660271
196,690993
197,680757
198,592696
199,668472
200,641857
201,607043
202,572228
203,672580
204,514888
205,572233
206,680776
207,680779
208,680777
209,682829
210,607054
211,691023
212,670541
213,467793
214,691026
215,676694
216,594777
217,676701
218,514917
219,543592
220,594807
221,807799
222,578428
223,621438
224,621439
225,672640
226,641933
227,553869
228,502671
229,641943
230,553882
231,670623
232,680869
233,682928
234,656305
235,621493
236,672695
237,605113
238,605119
239,453568
240,676801
241,543685
242,605131
243,541645
244,680911
245,605137
246,605141
247,678882
248,607208
249,457705
250,682985
251,621550
252,605170
253,592885
254,682998
255,683002
256,621563
257,668670
258,666624
259,609280
260,683011
261,500743
262,553993
263,543760
264,680977
265,605204
266,689172
267,656413
268,457759
269,519203
270,668709
271,642086
272,668715
273,670764
274,670770
275,676914
276,672820
277,693304
278,668731
279,543807
280,656448
281,642133
282,642136
283,650333
284,646240
285,701538
286,570482
287,679032
288,681082
289,664702
290,668800
291,642180
292,668804
293,543877
294,500871
295,683146
296,547989
297,519317
298,650391
299,664728
300,656541
301,687263
302,650402
303,660644
304,443558
305,656555
306,666801
307,664761
308,681146
309,660670
310,543939
311,691016
312,656582
313,664774
314,660688
315,668904
316,658668
317,650489
318,650490
319,668930
320,593160
321,668939
322,668942
323,462101
324,660757
325,695578
326,660766
327,642336
328,666915
329,623912
330,687401
331,642350
332,650559
333,664901
334,669004
335,656716
336,671056
337,664913
338,595281
339,681297
340,660821
341,669016
342,666969
343,630105
344,666971
345,572761
346,570731
347,623993
348,656775
349,681351
350,664983
351,656811
352,605612
353,607680
354,669127
355,669134
356,673237
357,640492
358,671213
359,542194
360,671218
361,607732
362,671221
363,656896
364,691718
365,681481
366,593428
367,622110
368,665120
369,669221
370,669222
371,669224
372,656941
373,671277
374,671289
375,669242
376,665155
377,665161
378,681546
379,669257
380,673357
381,669261
382,656976
383,542303
384,669289
385,679529
386,650859
387,669304
388,657041
389,642708
390,681624
391,642715
392,542364
393,642731
394,669357
395,677551
396,669364
397,657077
398,573131
399,673490
400,669394
401,677587
402,669397
403,683737
404,677594
405,628451
406,657136
407,673548
408,493329
409,677649
410,624413
411,624414
412,624415
413,642851
414,624424
415,624428
416,624431
417,667452
418,595777
419,608070
420,663368
421,573262
422,681807
423,624503
424,624512
425,665482
426,661388
427,665487
428,665489
429,663457
430,665506
431,595879
432,677800
433,694192
434,606132
435,595909
436,622534
437,624585
438,593871
439,655316
440,602074
441,696285
442,663527
443,606192
444,663538
445,671732
446,602104
447,671739
